Time,Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7,Data_8,Data_9,Data_10,Data_11,Data_12,Data_13,Data_14
2.9 sec,40919.5265601998,1711.33629489651,-1100.81340974392,0.70435759022193,-108.971912616364,164.310464284278,0.377482655327379,0.839662510701787,0.0223025192298858,0.038390211883463,-0.541250087657813,-4.96112981195278e-19,0.0550385171600092,-0.0516067040809632
3 sec,40916.7516139998,1700.40685861129,-1084.40926486629,0.742028263822406,-109.616734907719,163.772448706772,0.375709588766225,0.838154066144558,0.0237069173300074,0.0407799345313763,-0.54334955637761,3.48512119553971e-20,0.0560618456958294,-0.0515197653957566
3.1 sec,40913.9766677998,1689.41296361189,-1068.05891679901,0.779454907338127,-110.261086194234,163.234529301424,0.372598572019184,0.836635709423176,0.0251379910378355,0.0432100678373525,-0.545433461718412,3.00350113319477e-19,0.0570038387636219,-0.0512951854748777
3.2 sec,40911.2017215998,1678.35465725936,-1051.76235552543,0.816502715892974,-110.9049607747,162.696714375512,0.368129755293293,0.835111112859265,0.0265938956697136,0.0456768773425227,-0.547495951371682,3.88860251930502e-19,0.0578631230501732,-0.0509332267848534
3.3 sec,40908.4267753998,1667.23198763248,-1035.51957010424,0.85303500436419,-111.548349989151,162.159014098325,0.362285388559252,0.833584034522159,0.0280727665656664,0.0481765672651189,-0.549531250734421,1.67579952242228e-19,0.0586384518212021,-0.050434349062954
3.4 sec,40905.6518291998,1656.04500382563,-1019.33054848831,0.88891341881997,-112.191242179584,161.621440399838,0.355049850054395,0.832058313063547,0.0295727225476374,0.0507052866873219,-0.551533672267613,1.67573947423299e-19,0.0593287063494912,-0.0497992076509709
3.5 sec,40902.8768829998,1644.79375625029,-1003.19527735383,0.923998150589929,-112.833622656155,161.084006866262,0.346409670428742,0.830537861875314,0.0310918693688565,0.0532591358031794,-0.553497624298702,5.2165893289159e-19,0.0599328970205387,-0.049028651418483
3.6 sec,40900.1019367998,1633.47829693975,-987.113741939975,0.958148152530742,-113.475473669214,160.546728633241,0.336353552499161,0.829026662590871,0.0326283031402099,0.0558341722025333,-0.555417619239943,3.44594518912064e-19,0.0604501641151382,-0.0481237202916515
3.7 sec,40897.3269905998,1622.09867985617,-971.085925899417,0.991221357047343,-114.116774387521,160.009622277479,0.324872386608647,0.827528757954564,0.0341801137195219,0.0584264171658781,-0.557288281198817,7.43014304052988e-19,0.0608797782707708,-0.0470856424066584
3.8 sec,40894.5520443998,1610.65496119956,-955.111811159642,1.02307489543139,-114.757500882914,159.472705707587,0.311959261619867,0.826048244087766,0.0357453880498415,0.0610318619453311,-0.559104352961275,8.31559577140805e-19,0.0612211406261692,-0.0459158309097995
